订单号,订单日期,订单时间,结算日期,网点,省份,城市,金额,数量,备注
ORD00000079,2025-01-27,2025/1/27 21:30,2025/2/6,网点D,浙江省,杭州市,607.98,26,备注信息8
ORD00000080,2024-05-11,2024/5/11 9:56,2024/5/21,网点D,浙江省,杭州市,990.72,77,备注信息9
ORD00000081,2024-11-30,2024/11/30 4:57,2024/12/10,网点E,浙江省,杭州市,272.67,19,备注信息0
ORD00000082,2025-04-26,2025/4/26 21:12,2025/5/6,网点A,浙江省,杭州市,71.72,48,备注信息1
ORD00000083,2024-09-09,2024/9/9 13:33,2024/9/19,网点E,浙江省,杭州市,41.81,81,备注信息2
ORD00000084,2024-10-13,2024/10/13 12:19,2024/10/23,网点E,浙江省,杭州市,713.58,80,备注信息3
ORD00000085,2025-04-26,2025/4/26 4:17,2025/5/6,网点A,浙江省,杭州市,831.93,30,备注信息4
ORD00000086,2024-08-03,2024/8/3 17:32,2024/8/13,网点A,浙江省,杭州市,638.75,32,备注信息5
ORD00000087,2024-06-28,2024/6/28 14:49,2024/7/8,网点A,浙江省,杭州市,905.98,78,备注信息6
ORD00000088,2024-08-29,2024/8/29 8:53,2024/9/8,网点A,浙江省,杭州市,701,79,备注信息7
ORD00000089,2024-04-08,2024/4/8 3:59,2024/4/18,网点D,浙江省,杭州市,377.25,76,备注信息8
ORD00000090,2024-04-28,2024/4/28 6:54,2024/5/8,网点C,浙江省,杭州市,189.45,75,备注信息9
ORD00000091,2024-06-21,2024/6/21 8:49,2024/7/1,网点C,浙江省,杭州市,925.4,69,备注信息0
ORD00000092,2025-04-26,2025/4/26 22:15,2025/5/6,网点A,浙江省,杭州市,112.56,11,备注信息1
ORD00000093,2025-01-27,2025/1/27 22:53,2025/2/6,网点C,浙江省,杭州市,547.56,98,备注信息2
ORD00000094,2025-02-16,2025/2/16 23:30,2025/2/26,网点C,浙江省,杭州市,320.87,83,备注信息3
ORD00000095,2024-02-27,2024/2/27 16:30,2024/3/8,网点A,浙江省,杭州市,278.7,26,备注信息4
ORD00000096,2024-03-17,2024/3/17 6:29,2024/3/27,网点C,浙江省,杭州市,649.38,26,备注信息5
ORD00000097,2024-03-09,2024/3/9 15:00,2024/3/19,网点E,浙江省,杭州市,238.92,17,备注信息6
ORD00000098,2025-01-01,2025/1/1 9:40,2025/1/11,网点B,浙江省,杭州市,917.2,95,备注信息7
ORD00000099,2025-02-25,2025/2/25 11:48,2025/3/7,网点B,河南省,郑州市,411.98,83,备注信息8
ORD00000100,2024-01-19,2024/1/19 7:43,2024/1/29,网点A,河南省,郑州市,680.6,44,备注信息9
ORD00000101,2025-04-01,2025/4/1 3:37,2025/4/11,网点D,河南省,郑州市,730.48,84,备注信息0
ORD00000102,2025-01-27,2025/1/27 15:14,2025/2/6,网点A,河南省,郑州市,686.11,23,备注信息1
ORD00000103,2024-09-12,2024/9/12 16:11,2024/9/22,网点D,河南省,郑州市,904.37,25,备注信息2
ORD00000104,2025-03-14,2025/3/14 19:15,2025/3/24,网点B,河南省,郑州市,238.82,92,备注信息3
ORD00000105,2024-09-14,2024/9/14 5:29,2024/9/24,网点A,河南省,郑州市,95.19,37,备注信息4
ORD00000106,2024-07-03,2024/7/3 19:10,2024/7/13,网点E,河南省,郑州市,64.91,76,备注信息5
ORD00000107,2024-08-25,2024/8/25 18:40,2024/9/4,网点C,河南省,郑州市,879.07,65,备注信息6
ORD00000108,2025-01-14,2025/1/14 22:43,2025/1/24,网点D,河南省,郑州市,973.55,2,备注信息7
ORD00000109,2024-06-21,2024/6/21 20:57,2024/7/1,网点C,河南省,郑州市,309.5,74,备注信息8
ORD00000110,2025-01-15,2025/1/15 12:53,2025/1/25,网点C,河南省,郑州市,696.58,98,备注信息9
ORD00000111,2024-06-25,2024/6/25 10:05,2024/7/5,网点A,河南省,郑州市,18.82,32,备注信息0
ORD00000112,2025-05-03,2025/5/3 20:10,2025/5/13,网点C,河南省,郑州市,196.75,89,备注信息1
ORD00000113,2024-06-12,2024/6/12 15:16,2024/6/22,网点E,河南省,郑州市,692.38,74,备注信息2
ORD00000114,2024-12-25,2024/12/25 6:59,2025/1/4,网点C,河南省,郑州市,75.23,55,备注信息3
ORD00000115,2024-12-07,2024/12/7 9:15,2024/12/17,网点A,河南省,郑州市,473.82,50,备注信息4
ORD00000116,2024-03-06,2024/3/6 6:42,2024/3/16,网点E,河南省,郑州市,665.96,65,备注信息5
ORD00000117,2025-02-27,2025/2/27 6:23,2025/3/9,网点B,河南省,郑州市,768.3,32,备注信息6
ORD00000118,2025-03-14,2025/3/14 15:22,2025/3/24,网点C,河南省,郑州市,459.28,37,备注信息7
ORD00000119,2024-03-09,2024/3/9 2:57,2024/3/19,网点A,河南省,郑州市,633.98,76,备注信息8
ORD00000120,2024-06-06,2024/6/6 19:18,2024/6/16,网点B,河南省,郑州市,544.18,82,备注信息9
ORD00000121,2024-05-30,2024/5/30 7:17,2024/6/9,网点B,河南省,郑州市,61.78,94,备注信息0
ORD00000122,2024-06-17,2024/6/17 9:13,2024/6/27,网点D,河南省,郑州市,745.38,13,备注信息1
ORD00000123,2024-03-16,2024/3/16 0:40,2024/3/26,网点E,河南省,郑州市,180.64,54,备注信息2
ORD00000124,2024-01-11,2024/1/11 22:02,2024/1/21,网点C,河南省,郑州市,41.49,3,备注信息3
ORD00000125,2024-07-26,2024/7/26 21:22,2024/8/5,网点A,河南省,郑州市,456.66,85,备注信息4
ORD00000126,2024-11-13,2024/11/13 20:49,2024/11/23,网点D,河南省,郑州市,866.98,42,备注信息5
ORD00000127,2024-06-16,2024/6/16 3:22,2024/6/26,网点E,河南省,郑州市,159.32,78,备注信息6
ORD00000128,2024-03-04,2024/3/4 7:13,2024/3/14,网点D,河南省,郑州市,22.73,40,备注信息7
ORD00000129,2024-03-29,2024/3/29 18:38,2024/4/8,网点E,河南省,郑州市,118.88,74,备注信息8
ORD00000130,2024-01-11,2024/1/11 22:29,2024/1/21,网点E,河南省,郑州市,370.02,66,备注信息9
ORD00000131,2024-07-17,2024/7/17 2:58,2024/7/27,网点C,河南省,郑州市,584.37,60,备注信息0
ORD00000132,2024-09-08,2024/9/8 0:23,2024/9/18,网点E,河南省,郑州市,201.08,11,备注信息1
ORD00000133,2025-03-27,2025/3/27 14:35,2025/4/6,网点D,河南省,郑州市,803.94,1,备注信息2
ORD00000134,2024-10-11,2024/10/11 17:08,2024/10/21,网点E,河南省,郑州市,755.76,26,备注信息3
ORD00000135,2024-10-26,2024/10/26 18:28,2024/11/5,网点C,河南省,郑州市,698.9,42,备注信息4
ORD00000136,2024-05-19,2024/5/19 12:37,2024/5/29,网点C,河南省,郑州市,492.6,62,备注信息5
ORD00000137,2025-04-03,2025/4/3 15:17,2025/4/13,网点D,河南省,郑州市,371.56,61,备注信息6
ORD00000138,2024-03-02,2024/3/2 5:31,2024/3/12,网点B,河南省,郑州市,381.83,77,备注信息7
ORD00000139,2024-07-21,2024/7/21 5:31,2024/7/31,网点B,河南省,郑州市,508.04,92,备注信息8
ORD00000140,2025-02-28,2025/2/28 9:23,2025/3/10,网点E,河南省,郑州市,86.54,85,备注信息9
ORD00000141,2024-08-11,2024/8/11 5:58,2024/8/21,网点A,河南省,郑州市,685.48,62,备注信息0
ORD00000142,2024-03-19,2024/3/19 23:50,2024/3/29,网点E,河南省,郑州市,357.99,74,备注信息1
ORD00000143,2024-09-10,2024/9/10 16:07,2024/9/20,网点D,河南省,郑州市,232.51,12,备注信息2
ORD00000144,2024-08-30,2024/8/30 5:58,2024/9/9,网点D,河南省,郑州市,285.54,27,备注信息3
ORD00000145,2024-04-17,2024/4/17 7:40,2024/4/27,网点D,河南省,郑州市,188.49,67,备注信息4
ORD00000146,2024-05-09,2024/5/9 15:24,2024/5/19,网点D,河南省,郑州市,902.55,28,备注信息5
ORD00000147,2025-05-14,2025/5/14 18:11,2025/5/24,网点D,河南省,郑州市,177.35,66,备注信息6
ORD00000148,2024-10-08,2024/10/8 20:29,2024/10/18,网点C,河南省,郑州市,884.1,28,备注信息7
ORD00000149,2024-08-14,2024/8/14 20:36,2024/8/24,网点B,河南省,郑州市,576.52,95,备注信息8
ORD00000150,2024-01-09,2024/1/9 21:35,2024/1/19,网点D,河南省,郑州市,868.78,21,备注信息9
ORD00000151,2024-04-08,2024/4/8 12:07,2024/4/18,网点A,河南省,郑州市,479.32,7,备注信息0
ORD00000152,2024-09-26,2024/9/26 10:36,2024/10/6,网点A,河南省,郑州市,928.36,95,备注信息1
ORD00000153,2024-11-14,2024/11/14 0:16,2024/11/24,网点A,河南省,郑州市,219.38,14,备注信息2
ORD00000154,2024-04-19,2024/4/19 2:04,2024/4/29,网点A,河南省,郑州市,559.14,39,备注信息3
ORD00000155,2024-08-19,2024/8/19 8:09,2024/8/29,网点C,河南省,郑州市,134.58,73,备注信息4
ORD00000156,2024-01-19,2024/1/19 17:23,2024/1/29,网点A,河南省,郑州市,452.75,87,备注信息5
ORD00000157,2025-01-16,2025/1/16 14:14,2025/1/26,网点D,河南省,郑州市,574.2,62,备注信息6
ORD00000158,2024-02-26,2024/2/26 7:48,2024/3/7,网点E,河南省,郑州市,609.62,12,备注信息7
ORD00000159,2025-04-05,2025/4/5 1:11,2025/4/15,网点A,河南省,郑州市,371.87,93,备注信息8
ORD00000160,2025-04-29,2025/4/29 19:12,2025/5/9,网点C,河南省,郑州市,85.57,38,备注信息9
ORD00000161,2024-03-04,2024/3/4 3:07,2024/3/14,网点C,河南省,郑州市,658.77,58,备注信息0
ORD00000162,2024-10-20,2024/10/20 9:23,2024/10/30,网点A,河南省,郑州市,493.55,56,备注信息1
ORD00000163,2025-02-06,2025/2/6 16:26,2025/2/16,网点E,河南省,郑州市,145.51,39,备注信息2
ORD00000164,2024-01-14,2024/1/14 21:41,2024/1/24,网点A,河南省,郑州市,936.52,86,备注信息3
ORD00000165,2025-02-10,2025/2/10 8:51,2025/2/20,网点C,河南省,郑州市,956.11,4,备注信息4
ORD00000166,2024-10-31,2024/10/31 20:00,2024/11/10,网点B,河南省,郑州市,858.04,48,备注信息5
ORD00000167,2025-03-22,2025/3/22 0:25,2025/4/1,网点D,河南省,郑州市,845.43,7,备注信息6
ORD00000168,2025-01-23,2025/1/23 12:48,2025/2/2,网点C,河南省,郑州市,107.68,60,备注信息7
ORD00000169,2024-06-19,2024/6/19 7:57,2024/6/29,网点A,河南省,郑州市,993.49,40,备注信息8
ORD00000170,2024-02-15,2024/2/15 20:19,2024/2/25,网点D,河南省,郑州市,406.38,8,备注信息9
ORD00000171,2025-04-24,2025/4/24 1:57,2025/5/4,网点A,河南省,郑州市,171.49,58,备注信息0
ORD00000172,2024-09-22,2024/9/22 22:25,2024/10/2,网点A,河南省,郑州市,813.98,57,备注信息1
ORD00000173,2025-04-03,2025/4/3 14:55,2025/4/13,网点B,河南省,郑州市,233.47,35,备注信息2
ORD00000174,2024-10-13,2024/10/13 20:26,2024/10/23,网点D,河南省,郑州市,530.91,73,备注信息3
ORD00000175,2025-03-20,2025/3/20 18:13,2025/3/30,网点D,河南省,郑州市,136.74,13,备注信息4
ORD00000176,2024-03-10,2024/3/10 7:06,2024/3/20,网点B,河南省,郑州市,479.9,39,备注信息5
ORD00000177,2025-04-22,2025/4/22 14:49,2025/5/2,网点C,河南省,郑州市,562.56,84,备注信息6
ORD00000178,2024-03-06,2024/3/6 14:55,2024/3/16,网点A,河南省,郑州市,451.46,21,备注信息7
ORD00000179,2024-09-09,2024/9/9 19:52,2024/9/19,网点E,河南省,郑州市,78.79,47,备注信息8
ORD00000180,2025-04-05,2025/4/5 15:27,2025/4/15,网点A,河南省,郑州市,490.09,83,备注信息9
ORD00000181,2025-05-11,2025/5/11 13:24,2025/5/21,网点A,河南省,郑州市,474.25,2,备注信息0
ORD00000182,2024-07-10,2024/7/10 18:10,2024/7/20,网点C,河南省,郑州市,269,44,备注信息1
ORD00000183,2024-01-04,2024/1/4 23:21,2024/1/14,网点A,河南省,郑州市,922.39,30,备注信息2
ORD00000184,2025-02-13,2025/2/13 19:07,2025/2/23,网点B,河南省,郑州市,423.61,87,备注信息3
ORD00000185,2025-02-06,2025/2/6 20:34,2025/2/16,网点B,河南省,郑州市,865.47,55,备注信息4
ORD00000186,2024-01-25,2024/1/25 2:45,2024/2/4,网点D,河南省,郑州市,118.57,40,备注信息5
ORD00000187,2024-09-22,2024/9/22 10:51,2024/10/2,网点E,河南省,郑州市,325.69,77,备注信息6
ORD00000188,2025-04-26,2025/4/26 18:17,2025/5/6,网点A,河南省,郑州市,184.57,97,备注信息7
ORD00000189,2025-03-04,2025/3/4 18:36,2025/3/14,网点A,河南省,郑州市,414.33,96,备注信息8
ORD00000190,2025-03-27,2025/3/27 6:06,2025/4/6,网点C,河南省,郑州市,120.52,92,备注信息9
ORD00000191,2024-04-30,2024/4/30 9:07,2024/5/10,网点B,河南省,郑州市,446.62,24,备注信息0
ORD00000192,2025-02-02,2025/2/2 2:59,2025/2/12,网点E,河南省,郑州市,360.33,42,备注信息1
ORD00000193,2024-02-09,2024/2/9 0:56,2024/2/19,网点D,河南省,郑州市,231.08,28,备注信息2
ORD00000194,2024-03-08,2024/3/8 1:57,2024/3/18,网点B,河南省,郑州市,645.76,94,备注信息3
ORD00000195,2025-04-06,2025/4/6 15:20,2025/4/16,网点D,河南省,郑州市,951.4,93,备注信息4
ORD00000196,2024-11-27,2024/11/27 8:44,2024/12/7,网点C,河南省,郑州市,215.04,98,备注信息5
ORD00000197,2024-01-10,2024/1/10 11:23,2024/1/20,网点C,河南省,郑州市,714.67,51,备注信息6
ORD00000198,2024-07-04,2024/7/4 15:09,2024/7/14,网点A,河南省,洛阳市,744.96,22,备注信息7
ORD00000199,2025-01-18,2025/1/18 13:26,2025/1/28,网点E,河南省,洛阳市,503.14,89,备注信息8
ORD00000200,2024-05-26,2024/5/26 18:11,2024/6/5,网点D,河南省,洛阳市,898.69,78,备注信息9
ORD00000201,2024-08-21,2024/8/21 15:39,2024/8/31,网点B,河南省,洛阳市,966.73,74,备注信息0
ORD00000202,2025-01-01,2025/1/1 1:25,2025/1/11,网点C,河南省,洛阳市,368.62,74,备注信息1
ORD00000203,2024-06-29,2024/6/29 22:16,2024/7/9,网点A,河南省,洛阳市,654.52,8,备注信息2
ORD00000204,2024-06-10,2024/6/10 23:57,2024/6/20,网点A,河南省,洛阳市,665.59,14,备注信息3
ORD00000205,2024-04-28,2024/4/28 9:39,2024/5/8,网点D,河南省,洛阳市,409.6,45,备注信息4
ORD00000206,2024-06-16,2024/6/16 14:59,2024/6/26,网点C,河南省,洛阳市,323.62,38,备注信息5
ORD00000207,2024-04-08,2024/4/8 15:11,2024/4/18,网点E,河南省,洛阳市,934.41,32,备注信息6
ORD00000208,2024-03-26,2024/3/26 7:26,2024/4/5,网点C,河南省,洛阳市,792.08,62,备注信息7
ORD00000209,2024-12-18,2024/12/18 8:41,2024/12/28,网点D,河南省,洛阳市,123.32,96,备注信息8
ORD00000210,2024-10-02,2024/10/2 3:29,2024/10/12,网点D,河南省,洛阳市,128.69,67,备注信息9
ORD00000211,2024-08-25,2024/8/25 5:02,2024/9/4,网点C,河南省,洛阳市,923.32,84,备注信息0
ORD00000212,2025-03-13,2025/3/13 14:03,2025/3/23,网点D,河南省,洛阳市,90.6,61,备注信息1
ORD00000213,2024-02-16,2024/2/16 3:21,2024/2/26,网点C,河南省,洛阳市,691.54,13,备注信息2
ORD00000214,2024-08-15,2024/8/15 4:20,2024/8/25,网点B,河南省,洛阳市,234.49,87,备注信息3
ORD00000215,2025-03-03,2025/3/3 18:22,2025/3/13,网点C,河南省,洛阳市,44.83,83,备注信息4
ORD00000216,2024-07-02,2024/7/2 15:28,2024/7/12,网点C,河南省,洛阳市,69.04,80,备注信息5
ORD00000217,2024-12-19,2024/12/19 8:35,2024/12/29,网点D,河南省,洛阳市,379.79,99,备注信息6
ORD00000218,2024-07-22,2024/7/22 19:51,2024/8/1,网点D,河南省,洛阳市,86.81,47,备注信息7
ORD00000219,2024-05-29,2024/5/29 2:28,2024/6/8,网点A,河南省,洛阳市,600.67,54,备注信息8
ORD00000220,2024-05-23,2024/5/23 18:35,2024/6/2,网点A,河南省,洛阳市,650.78,71,备注信息9
ORD00000221,2024-03-24,2024/3/24 20:12,2024/4/3,网点B,河南省,洛阳市,379.73,52,备注信息0
ORD00000222,2024-08-09,2024/8/9 5:48,2024/8/19,网点A,河南省,洛阳市,745.45,72,备注信息1
ORD00000223,2024-11-27,2024/11/27 23:07,2024/12/7,网点C,河南省,洛阳市,495.14,25,备注信息2
ORD00000224,2024-11-29,2024/11/29 18:11,2024/12/9,网点D,河南省,洛阳市,435.93,23,备注信息3
ORD00000225,2025-03-06,2025/3/6 2:04,2025/3/16,网点A,河南省,洛阳市,412.92,74,备注信息4
ORD00000226,2025-03-25,2025/3/25 7:39,2025/4/4,网点A,河南省,洛阳市,436.8,30,备注信息5
ORD00000227,2024-04-15,2024/4/15 18:55,2024/4/25,网点B,河南省,洛阳市,968.21,97,备注信息6
ORD00000228,2024-12-11,2024/12/11 12:59,2024/12/21,网点B,河南省,洛阳市,684.59,11,备注信息7
ORD00000229,2024-03-19,2024/3/19 5:05,2024/3/29,网点C,河南省,洛阳市,322.06,35,备注信息8
ORD00000230,2025-03-09,2025/3/9 5:08,2025/3/19,网点D,河南省,洛阳市,736.52,27,备注信息9
ORD00000231,2025-03-21,2025/3/21 9:45,2025/3/31,网点B,河南省,洛阳市,336.96,67,备注信息0
ORD00000232,2024-05-01,2024/5/1 6:31,2024/5/11,网点A,河南省,洛阳市,134.46,47,备注信息1
ORD00000233,2025-01-02,2025/1/2 1:52,2025/1/12,网点D,河南省,洛阳市,480.61,50,备注信息2
ORD00000234,2025-03-06,2025/3/6 10:38,2025/3/16,网点D,河南省,洛阳市,753.51,8,备注信息3
ORD00000235,2024-06-15,2024/6/15 11:41,2024/6/25,网点A,河南省,洛阳市,383.88,55,备注信息4
ORD00000236,2024-03-03,2024/3/3 2:28,2024/3/13,网点B,河南省,洛阳市,870.48,77,备注信息5
ORD00000237,2024-05-08,2024/5/8 15:51,2024/5/18,网点A,河南省,洛阳市,393.08,42,备注信息6
ORD00000238,2024-05-03,2024/5/3 15:09,2024/5/13,网点D,河南省,洛阳市,356.34,67,备注信息7
ORD00000239,2024-12-14,2024/12/14 8:08,2024/12/24,网点E,河南省,洛阳市,998.26,20,备注信息8
ORD00000240,2025-01-23,2025/1/23 2:51,2025/2/2,网点E,河南省,洛阳市,487.65,45,备注信息9
ORD00000241,2024-07-31,2024/7/31 22:02,2024/8/10,网点C,河南省,洛阳市,807.17,35,备注信息0
ORD00000242,2024-09-19,2024/9/19 15:33,2024/9/29,网点A,河南省,洛阳市,806.94,77,备注信息1
ORD00000243,2025-01-23,2025/1/23 3:06,2025/2/2,网点A,河南省,洛阳市,927.11,20,备注信息2
ORD00000244,2024-01-17,2024/1/17 8:23,2024/1/27,网点C,河南省,洛阳市,94.05,24,备注信息3
